seed,regime,round,placement,mean_gap,open_capacity
1017,R3,2,0.3416666666666667,0.4927521517335282,19
1017,R3,3,0.4083333333333333,0.4914339886215411,11
1017,R3,4,0.4166666666666667,0.493432703721718,10
1017,R3,5,0.4333333333333333,0.4912928609943076,8
1017,R3,6,0.45,0.4904377936587626,6
1018,R0,1,0.2,0.5232047951213917,36
1018,R0,2,0.3666666666666666,0.522600353977403,16
1018,R0,3,0.4166666666666667,0.5221895166700015,10
1018,R0,4,0.4583333333333333,0.5216126606327972,5
1018,R0,5,0.4666666666666667,0.5210120289984502,4
1018,R0,6,0.475,0.5205042774010155,3
1018,R1,1,0.1916666666666666,0.52321504200942,37
1018,R1,2,0.3333333333333333,0.5225202721916828,20
1018,R1,3,0.4166666666666667,0.5219854396277617,10
1018,R1,4,0.4333333333333333,0.5214432622569697,8
1018,R1,5,0.45,0.5208571029919986,6
1018,R1,6,0.4583333333333333,0.5204806877243338,5
1018,R2,1,0.2,0.5192773079364177,36
1018,R2,2,0.3333333333333333,0.5239930887195298,20
1018,R2,3,0.375,0.5213969252020967,15
1018,R2,4,0.4,0.5197876735515213,12
1018,R2,5,0.425,0.5165642835712422,9
1018,R2,6,0.425,0.5164245004564352,9
1018,R3,1,0.1666666666666666,0.5255933882527707,40
1018,R3,2,0.2916666666666667,0.5251341357787448,25
1018,R3,3,0.3583333333333333,0.5200795536084662,17
1018,R3,4,0.3916666666666666,0.5168366466421953,13
1018,R3,5,0.4166666666666667,0.5175421736779539,10
1018,R3,6,0.4333333333333333,0.5143102484557395,8
1019,R0,1,0.2083333333333333,0.4882932710533085,35
1019,R0,2,0.3583333333333333,0.4878504782578427,17
1019,R0,3,0.4333333333333333,0.4873167147279693,8
1019,R0,4,0.4583333333333333,0.4868692797786856,5
1019,R0,5,0.475,0.4864688011688217,3
1019,R0,6,0.4833333333333333,0.4860087399270065,2
1019,R1,1,0.1666666666666666,0.4882904053647269,40
1019,R1,2,0.3,0.4876261809076881,24
1019,R1,3,0.3333333333333333,0.4870019144303174,20
1019,R1,4,0.4,0.4863796265707199,12
1019,R1,5,0.4083333333333333,0.4858575793880778,11
1019,R1,6,0.425,0.4853384383016192,9
1019,R2,1,0.175,0.4873559801229192,39
1019,R2,2,0.275,0.4819468241941514,27
1019,R2,3,0.35,0.4808633515007161,18
1019,R2,4,0.3666666666666666,0.4785171067479439,16
1019,R2,5,0.4,0.4782461728737525,12
1019,R2,6,0.425,0.4750466099154815,9
1019,R3,1,0.15,0.4829814735698937,42
1019,R3,2,0.325,0.4829642857161642,21
1019,R3,3,0.3583333333333333,0.4805098876884971,17
1019,R3,4,0.4083333333333333,0.4753480994789713,11
1019,R3,5,0.4416666666666666,0.4720014547109228,7
1019,R3,6,0.45,0.4724509311707707,6
1020,R0,1,0.2083333333333333,0.5121510013167487,35
1020,R0,2,0.3833333333333333,0.5115127594246984,14
1020,R0,3,0.425,0.5111422874998254,9
1020,R0,4,0.45,0.5105452074925395,6
1020,R0,5,0.4833333333333333,0.5102263410244655,2
1020,R0,6,0.4833333333333333,0.5098211829559749,2
1020,R1,1,0.15,0.5122241631562633,42
1020,R1,2,0.2666666666666666,0.5116947439132759,28
